DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
USA,AXM,95,104645,422470536
PAN,AXM,12,12125,48952665
DEU,BOG,480,3000,12111570
DEU,BOG,90,634,2561597
DEU,BOG,60,228,920479
DEU,BOG,270,940,3796977
DEU,BOG,1204,6903,27612298
DEU,BOG,64,296,1195008
DEU,BOG,32,9256,36845082
DEU,BOG,9,5175,20599967
DEU,BOG,9,3267,13004849
DEU,BOG,16,4560,18151855
DEU,BOG,1380,1094,4347840
DEU,BOG,28995,15999,65473597
DEU,BOG,50,4930,20294789
DEU,BOG,245,54726,225284504
DEU,BOG,20,6256,25753387
DEU,BOG,20,3604,14836190
DEU,BOG,20,4216,17355543
DEU,BOG,20,3332,13716478
DEU,BOG,20,3332,13716478
DEU,BOG,100,7780,32027070
DEU,BOG,1088,157774,636965634
DEU,BOG,1,2526,10080297
DEU,BOG,27,60,247063
DEU,BOG,9,20,82354
DEU,BOG,1300,200,811388
DEU,BOG,38160,6102,24935734
DEU,BOG,62,99872,405667866
DEU,BOG,5600,1008,4098316
DEU,BOG,12480,2246,9133391
DEU,BOG,13,1484,5883801
DEU,BOG,2560,461,1870917
DEU,BOG,50,18500,74688015
DEU,BOG,44787,13918,56397252
DEU,BOG,1800,297,1181121
DEU,BOG,10080,1808,7210408
DEU,BOG,16,50,199764
DEU,BOG,38,104,412211
DEU,BOG,20,50,198178
DEU,BOG,82,320,1268342
DEU,BOG,24,88,348794
DEU,BOG,120,583,2310761
DEU,BOG,1198,5380,21324403
DEU,BOG,13,70,277450
DEU,BOG,8,28,112962
DEU,BOG,2,287,1183314
DEU,BOG,1,568,2339582
DEU,BOG,1,194,799401
DEU,BOG,986,88155,362897703
DEU,BOG,9,326,1340156
DEU,BOG,1,41,168863
DEU,BOG,2,6331,26063613
DEU,BOG,6,6874,28296781
DEU,BOG,1,372,1531010
DEU,BOG,5,8753,36012709
DEU,BOG,19660,6549,26330876
DEU,BOG,3,2238,9052867
DEU,BOG,2,747,2960708
DEU,BOG,4,450,1787798
DEU,BOG,1,1457,5997872
DEU,BOG,1,374,1540387
DEU,BOG,38,7457,30514581
DEU,BOG,1,50,200253
DEU,BOG,1,50,200253
DEU,BOG,21600,2943,11881046
DEU,BOG,58200,8776,35547304
DEU,BOG,560,4922,20140648
DEU,BOG,810,3487,13914183
DEU,BOG,3,10316,41005041
DEU,BOG,4,13933,56388384
DEU,BOG,5,18860,76329911
DEU,BOG,6000,1140,4648282
DEU,BOG,14400,2736,11155876
DEU,BOG,0,27,106493
DEU,BOG,1,83,329257
DEU,BOG,1,514,2044667
DEU,BOG,5,21,85186
DEU,BOG,16,95,379343
DEU,BOG,8,39,153359
DEU,BOG,3,23,90274
DEU,BOG,1,8,31960
DEU,BOG,2,2,6837
DEU,BOG,2,51,203167
DEU,BOG,2,73,289665
DEU,BOG,2,355,1409726
DEU,BOG,1,122,485597
DEU,BOG,1,74,292209
DEU,BOG,1,334,1329032
